step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,30.83289550303134,False,True,bad
2,99.67839436360673,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,32.18702781201051,False,True,bad
3,99.8426241003642,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,15.724624491114632,True,True,ok
4,99.81775621291175,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,63.61998559161208,99.7388060300056,100.63499515767091,18.12129635412216,True,True,ok
5,99.83778655022516,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,63.61998559161208,99.7388060300056,100.63499515767091,16.114806866937624,True,True,ok
6,99.88589919778433,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,80.97074325556297,99.76789262603363,100.80757809755512,11.20536923311964,True,True,good
7,99.90120370558397,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,80.97074325556297,99.76789262603363,100.80757809755512,9.673287571474338,True,True,good
8,100.04203460294946,99.85798867723838,99.00375324341938,100.04203460294944,19.999999999999986,80.97074325556297,99.65827269988391,100.66654623355855,18.4138025293307,True,False,ok
9,100.0454739906732,99.84787868420212,98.60808192253998,100.44345975191347,16.999999999999986,80.97074325556297,99.67813729043897,100.65635437915724,19.770079213378317,True,True,ok
10,100.06520297664015,99.82937193681464,99.08623414583217,100.06520297664017,13.999999999999988,80.97074325556297,99.6896108161031,100.63769778126064,23.59555274007846,True,True,ok
11,99.91246127540013,99.82937193681464,99.08623414583217,100.06520297664017,13.999999999999988,80.97074325556297,99.6896108161031,100.63769778126064,8.319673654929261,True,True,good
12,99.99262688241636,99.84364343478802,99.12499704239083,100.07427544195438,8.0,80.97074325556297,99.76376852004019,100.65208483661385,14.910554024461801,True,True,ok
13,99.95253665671771,99.84364343478802,99.12499704239083,100.07427544195438,8.0,80.97074325556297,99.76376852004019,100.65208483661385,10.900431896346422,True,True,good
14,100.03152588873687,99.84364343478802,99.12499704239083,100.07427544195438,8.0,80.97074325556297,99.76376852004019,100.65208483661385,18.799985002868123,True,True,ok
15,100.05654516501023,99.9835224280451,99.40296819240203,100.29464745065407,8.0,77.97074325556297,99.90353561010267,100.7631013837475,7.300811391167492,True,True,good
16,99.97388834514528,99.9835224280451,99.40296819240203,100.29464745065407,8.0,77.97074325556297,99.90353561010267,100.7631013837475,0.963613488495131,True,True,good
17,100.07719565982246,99.97839466975758,98.61799254510788,101.09296887021353,8.0,74.97074325556297,99.89841195402177,100.72794012554654,9.877354382831818,True,True,good
18,100.13557486812107,100.11826080916059,99.6899540235171,100.52340125001771,8.0,95.35569579766545,100.03816620051326,101.07294545131155,1.7292112228529415,True,True,good
19,100.11344546636744,99.97819331415195,99.11374879462758,100.14807218787635,8.0,95.35569579766545,99.89821075950063,100.9315423329584,13.519022947601021,True,True,ok
20,100.0115430175656,99.97819331415195,99.11374879462758,100.14807218787635,8.0,95.35569579766545,99.89821075950063,100.9315423329584,3.3351415262097293,True,True,good
21,99.98132429804349,99.97819331415195,99.11374879462758,100.14807218787635,8.0,95.35569579766545,99.89821075950063,100.9315423329584,0.31316177686180086,True,True,good
22,99.88417390966177,99.96771683368699,98.01112472793116,101.27473688980824,8.0,95.35569579766545,99.88774266022004,100.92096595328502,8.36048421465511,False,True,good
23,99.92738125027716,100.10776965135123,99.92738125027715,100.97019548453052,8.0,95.35569579766545,100.02768343563015,101.06235425433694,18.03567514600446,False,True,bad
24,99.75791687241569,100.00678307286859,99.75791687241569,100.79896262376455,8.0,95.35569579766545,99.92677764641029,100.96040471130854,24.915946537975785,False,True,bad
25,100.03476597428987,100.00678307286859,99.75791687241569,100.79896262376455,8.0,95.35569579766545,99.92677764641029,100.96040471130854,2.797708949675039,True,True,good
26,100.12666195291955,100.01697656688181,98.94370075792952,101.62844584566821,8.0,95.35569579766545,99.9369629856283,100.97069540609318,10.960667831357034,True,True,good
