seed,edge_submission,edge_normalizer,avg_fee_bps_submission,avg_bid_fee_bps_submission,avg_ask_fee_bps_submission,arb_volume_y_submission,retail_volume_y_submission,arb_trade_count_submission,retail_trade_count_submission
20260215,174.02662946181724,631.6285498518324,466.07156526765294,246.92952482247907,685.2136057128268,475.4226390835806,5959.1965574269825,29,263
20260216,159.9341090326015,636.1051307752989,574.6589814751981,538.0154345013362,611.3025284490598,135.97611374099904,4838.702865607291,13,173
20260217,117.67395623899161,495.2949403630204,331.3064413426507,485.11765338899755,177.49522929630382,407.9413229852218,4706.402753441721,61,252
20260218,240.92547855950517,882.2776020992978,382.9741722041297,646.0387750307826,119.9095693774767,581.6261142107969,8946.46086697725,32,370
20260219,237.21338657389666,735.1546289919529,299.0538726316705,234.43032147157783,363.6774237917632,1107.7066150783508,11145.71117203368,72,598
20260220,248.92244843562548,654.6385238805565,501.02291417042636,300.71551814867155,701.3303101921812,52.345940660943036,5872.964184515693,15,184
20260221,321.6825961433832,789.4934856426172,388.1609101924555,475.99689423258224,300.3249261523288,761.8308841170615,11286.753759931182,66,529
20260222,168.66609912149886,587.090968956313,527.8722679297604,617.0941553817013,438.6503804778195,55.212509189513305,3885.4267320224476,9,125
20260223,193.1293469346674,619.3938198855896,364.96750825672586,80.3517327821697,649.583283731282,357.40652458896375,6935.758885732395,37,313
20260224,184.82080417171184,572.3899805625362,611.4207734433403,906.6918261303624,316.14972075631823,513.2769245643806,4166.196204424462,7,139
20260225,190.80984385026872,935.1099910390736,522.7866833040651,359.5927635392788,685.9806030688515,31.78967163061655,5138.45163122522,7,225
20260226,122.47528220794374,618.5714881445931,423.9534919846348,725.5315808973054,122.3754030719642,326.08639586038544,4087.7386690257217,42,199
20260227,159.95373361993708,653.059670815605,428.6406996925856,605.6869323576344,251.59446702753678,141.88683233394283,5213.241784034812,24,228
20260228,299.6840438427154,662.9474938703191,703.4622598859767,900.8360197719535,506.0884999999999,578.4856084943018,3861.485012469526,5,125
20260229,208.97793071757417,747.3527449769585,552.2973800821966,156.37131463935705,948.223445525036,432.97814399101156,4576.1643055165905,9,142
20260230,131.5945489419357,614.4713361359507,408.0779172572957,643.371534478836,172.78430003575545,165.1482231486849,5093.405559160283,25,237
20260231,65.90508945706064,507.2192430986557,457.9860972163575,813.1702501700676,102.80194426264745,304.2845677601108,2836.804639706552,33,166
20260232,119.17037954903661,553.0615648557798,453.4069275648821,206.33009172353104,700.4837634062332,214.84499525366698,3922.009276715187,19,169
20260233,200.43792897191116,721.3210833907065,418.1313499965736,155.98330913891198,680.2793908542352,493.777635814818,7090.999810025935,34,322
20260234,232.16311112422244,925.435669205675,474.7246402940699,867.2482577794796,82.20102280866023,188.23831771007428,5736.208095692933,6,185
20260235,296.0422184750991,802.138280611398,341.3128481665896,146.66133008094343,535.9643662522358,535.9533627486801,10128.700062201318,26,431
20260236,207.6245791403225,756.9794677620387,446.95763272118563,141.46246174235995,752.4528037000114,256.35221958954105,6721.740003015335,26,312
20260237,123.13644188202979,654.788910798206,401.8419522765954,155.06511741790356,648.6187871352872,28.37372773017887,4099.679298582887,5,183
20260238,214.20284081924842,579.5103454332337,345.8487203973714,306.2207221006873,385.47671869405553,1091.8483049660238,10343.970001636459,127,629
20260239,258.21911032993586,781.2940726924887,403.458050598067,620.0781139583263,186.8379872378077,339.75946432186186,6947.799445955536,10,291
20260240,203.76839437223026,783.900597188565,459.970252071073,843.7535634140626,76.18694072808337,608.3097256058516,4873.017060976522,40,219
20260241,239.71605690912875,767.3003261408282,315.5124373806955,239.43058498572913,391.59428977566176,571.9120732133906,9168.388315165295,22,398
20260242,99.16619661459461,693.2919288847538,526.5042618579346,986.6913594473016,66.3171642685676,189.30511386645804,2258.520208009859,15,89
20260243,126.86423480327053,607.2889215325088,451.13905425358746,786.7790693878202,115.4990391193547,307.4004253883238,4011.7909279330884,32,172
20260244,152.54375710291865,554.5313089516151,445.96553686507184,872.7575737301437,19.1735,98.83834233057495,3828.297830124367,6,116
20260245,252.98623069034647,677.260249739775,411.4280238515751,173.57696715945565,649.2790805436946,489.92795701046646,9704.400746047271,61,514
20260246,207.07281914633393,774.1678328958341,462.4287561987674,110.31472310327612,814.5427892942587,122.71450092143722,5607.159116362683,15,209
20260247,149.5089672072997,767.0371105336444,464.004908133031,24.56835128196989,903.4414649840921,288.65226521213276,5749.693197946737,46,322
20260248,105.71030293822312,655.0488701352554,395.0488096181155,723.188864254771,66.90875498146002,125.08931459850345,3837.284100064316,24,176
20260249,154.32113644198552,682.7522726102897,318.07311653816186,383.6414072237041,252.50482585261963,616.8613158454004,7875.760352063169,64,492
20260250,129.04066582833107,727.7008646111196,444.56222341003337,72.51667062846289,816.6077761916039,92.80133234770477,4721.634049272209,19,238
20260251,94.45869130456906,545.1851306866769,385.0797720254515,746.162344050903,23.99719999999999,6.81433827654739,3114.664076479547,3,134
20260252,216.83720815265772,777.9687190052299,303.49605135935076,339.4847907939699,267.50731192473154,527.8565809468898,9753.429797218181,32,663
20260253,184.29627376561433,832.7713310421974,580.8618190059253,509.73859971859184,651.9850382932589,392.75103614327685,5679.204551342799,48,255
20260254,134.34471830039266,747.5902843138693,413.06851595756143,540.626722455535,285.51030945958786,74.77847185919379,4864.373454074454,6,199
20260255,173.9733714477224,753.356010427952,406.3596962048785,584.5574348282397,228.1619575815173,419.4188822712434,6916.495754187118,42,356
20260256,196.6767438896499,725.4200129770458,527.3893434102115,150.18937697841648,904.5893098420066,194.13562175699798,4596.240033280312,13,164
20260257,143.52695358884978,673.4590125972924,426.5938563922292,803.16788684316,50.0198259412985,36.479297863785725,5087.717994752562,8,219
20260258,198.1599982832187,657.8321487871765,458.35895665223836,193.058731784935,723.6591815195418,339.8146221049184,7928.565018024547,49,404
20260259,201.06470582966423,736.5341679931477,456.9619231814835,623.0172103883117,290.9066359746552,398.07678217012153,5215.6955516820235,44,214
20260260,105.22347925754636,550.7549105928413,662.1735535877763,870.3250307280607,454.0220764474917,108.65258736708208,2936.3460565083215,22,124
20260261,199.7145458216773,575.4362188760906,367.14754755229325,599.0655413630224,135.22955374156413,401.07983733124536,7224.867888069328,43,343
20260262,122.43088534619399,640.4473642025189,455.50770946373586,14.14435593156789,896.8710629959038,347.00415252797757,3773.063085935327,21,187
20260263,234.00655814023432,863.8078524386293,366.74014932335075,550.4625418632374,183.01775678346405,223.87921542214607,8522.229065004254,9,390
20260264,342.9686143035433,800.4285047236825,412.99748224966515,414.12489900700257,411.8700654923278,1424.1806318381443,7378.79373596291,33,361
20260265,161.2279050575286,608.0368406375925,354.81032070074446,478.8202499760444,230.80039142544447,673.0696836297363,7256.185681954105,65,413
20260266,155.1972596117438,633.0895111618252,436.88137180673135,14.8517,858.9110436134627,70.03022800669714,4645.415111579232,11,172
20260267,130.90771499579415,674.6169114399769,440.9391896592248,597.0731236236024,284.8052556948471,156.29811537543716,5324.02133482054,9,285
20260268,103.90933048326478,588.9812219015045,388.60127447969364,732.1338272900977,45.068721669289644,394.98971096476777,3977.5542027199162,35,228
20260269,164.40139972262,551.3590967836197,277.591203376569,137.7143567058917,417.4680500472463,486.09509436583755,7897.489423824737,64,467
20260270,216.15984064162387,721.568982425539,484.6030243110123,209.8077717746301,759.3982768473944,559.876568209873,6177.029678791803,26,267
20260271,189.5203772694455,639.277462365226,288.27396345588136,437.5238340734477,139.02409283831506,547.415391597927,7777.181019554904,34,372
20260272,208.47004838684407,784.2191898950016,446.0182705599292,144.6670919216307,747.3694491982277,211.71374410953467,6132.91673285337,12,252
20260273,115.86174184834682,575.9858045362157,470.7552421333069,928.8925984093772,12.617885857236605,294.1579977251812,3367.946321595015,13,130
20260274,146.3714831892081,828.7350997824852,413.02951320859125,318.3800666858234,507.6789597313591,490.6092950482303,6136.91653813067,26,342
20260275,268.4525146571254,800.5200894936348,366.79635801072743,483.77051170362614,249.8222043178287,881.261617250535,10489.05360148643,47,471
20260276,87.54362992521398,561.738682944341,478.4418729568293,40.15299614040344,916.7307497732552,123.59659332926822,3003.888890111878,26,138
20260277,174.473273633742,795.1052977809336,474.5910293573236,919.0642671187593,30.117791595887876,315.8972114565329,4611.256064691061,19,194
20260278,176.80925262496393,665.788580068738,570.9005982968705,229.84673915569093,911.95445743805,214.23458525306805,4455.711416797693,25,165
20260279,158.7224952693715,698.8909334510852,493.2312573159656,877.152579850514,109.30993478141711,100.15721906553831,4355.979307937949,14,156
20260280,161.45947718688873,557.0609610854481,367.82190588454444,592.0489994817311,143.59481228735774,1048.7983121181076,6565.737236607659,82,354
20260281,134.94100800009477,519.6396159151784,295.193016112824,525.6371341454095,64.74889808023848,231.23655456694885,6596.84835098821,45,349
20260282,141.56422249255016,692.059576912449,597.248858637519,938.1357961406745,256.36192113436346,91.19969470707993,2980.2318287924136,6,122
20260283,213.37679699169587,674.32908537855,420.3385205111755,755.6793017742939,84.99773924805707,275.7550412110426,6936.421237955714,35,279
20260284,160.3482107615265,582.9693002840911,455.09722205235096,355.3364470020504,554.8579971026514,546.512776230927,4440.605434048746,26,191
20260285,226.1316039019385,848.7806084926225,410.8702278228182,749.4730844627832,72.26737118285327,206.26452907775152,7145.64687720573,20,315
20260286,241.77127508515446,581.0097257365469,382.9747668992534,322.57119656835704,443.37833723014967,200.6937570289798,7230.964512579754,29,291
20260287,246.33507053984363,756.4189598868487,447.16559407502797,435.0738081201344,459.25738002992153,819.8785698698326,6832.754462067389,44,285
20260288,275.4369533638877,803.5032002503755,330.61502177884415,412.5659312956812,248.66411226200714,772.0627914806033,10592.947055120674,66,533
20260289,161.87475888637272,542.2030598419996,453.4586788501242,32.20541793368595,874.7119397665625,438.73784642383106,4844.88592605439,45,207
20260290,274.1753126157723,869.0306949828808,317.4361049416254,525.6714418744875,109.2007680087632,637.0693487142303,11792.028528917579,71,630
20260291,201.07650781566332,672.1809488702638,455.31750587368595,638.9026601536586,271.7323515937133,622.4488914140309,5568.530975086955,16,221
20260292,189.57509700664247,813.3732492066962,464.24692898957164,898.6680813763272,29.825776602816024,264.855975807508,4974.110293132509,13,205
20260293,252.97468496766777,753.5314030366735,474.33178397669667,557.706593373321,390.9569745800723,621.5064519281885,6006.200888211278,24,180
20260294,229.35955534229439,796.519663982843,373.51086806407227,504.8176385206554,242.2040976074891,548.7628835187035,8288.148769657117,39,379
20260295,106.63024112138382,586.4513979240024,600.4746570271388,914.0552025057325,286.8941115485452,24.169854146003097,3090.2773477816577,5,104
20260296,203.5957292984442,629.0531696652781,311.15992339514844,499.38155114661737,122.93829564367947,320.0839451643171,7604.845435463335,47,366
20260297,221.5717774811568,712.2016690586448,447.01014481409203,724.7980132504196,169.22227637776453,950.1746894223215,7235.538162013629,41,353
20260298,154.26432180725817,851.9366523304863,418.8968654764042,556.2158935248906,281.5778374279177,197.98710120659257,5631.056455259831,26,270
20260299,260.9431525180404,801.0737857019961,747.1456709337499,839.5712789275822,654.7200629399175,316.4867351890607,4912.287946650174,9,174
20260300,161.0182637314922,587.6646814006584,365.6069795465363,146.63090597351862,584.583053119554,429.62842959134895,7183.572582730794,30,354
20260301,106.80050780012677,630.9402364602778,449.563880560283,174.6949955060034,724.4327656145625,54.35422437411056,3620.9455868591117,3,194
20260302,148.61963230183514,733.8687518467585,440.2016309546367,476.6638992181343,403.73936269113904,129.42510362813024,4911.898280247787,18,281
20260303,175.29380712496524,666.6020131810948,395.9679297421414,136.73970853183377,655.196150952449,235.46772082848983,6189.0984024148465,26,271
20260304,240.171873670649,766.0439400303944,357.8297590748165,347.3475284049777,368.31198974465525,370.7672680761527,7225.7374689312555,20,245
20260305,131.97109815803134,855.9175565144558,509.4349200706983,59.0225,959.8473401413966,159.89940155055774,3253.657563124789,9,131
20260306,220.49484608475842,839.0333517481723,503.41327767243376,623.3762228005676,383.4503325442999,553.9084443053342,8285.558983073697,68,408
20260307,101.85430959693669,668.5815088003947,399.1072262014034,784.9632524028068,13.251199999999997,36.157115598594686,3394.2860439393726,10,161
20260308,113.80921501866241,643.3815049714646,480.21451205521356,922.7401732478859,37.68885086254129,41.88833551344427,3286.5855700136276,15,146
20260309,116.75628105595794,699.2493122800034,527.4568026730594,121.64587463135568,933.2677307147632,103.91573626628815,2931.4555309454777,15,120
20260310,97.52285564247921,605.1797519497065,463.16830850925794,855.188439132695,71.14817788582094,206.92093280697756,3514.6637032042,23,177
20260311,316.35521125981415,920.4197861915676,532.6763031042381,353.85669446646756,711.4959117420085,582.827787772242,7754.978486702676,29,276
20260312,482.5438459703719,800.6057568347917,363.944229897374,617.3518958225422,110.53656397220576,1638.213277350944,14188.591707679872,70,684
20260313,214.0463750181932,801.9811288987432,452.5958898118513,14.740556306223036,890.4512233174795,66.68583263269284,5855.906729659345,2,231
20260314,292.77367854001284,872.4332478965277,424.8544093513385,403.64108553537415,446.0677331673029,1123.8346573579647,9103.379278566832,40,390
20260315,115.93559934388206,624.2654388202251,449.41967042570036,703.9640751801338,194.87526567126693,653.0133586392906,5719.175886713806,63,313
20260316,192.2839700184529,642.1441886526745,463.5448783791478,207.1418660795694,719.9478906787263,296.20890878456777,6109.119905286243,29,326
20260317,305.7013671979225,905.4642669869017,389.0651595840001,709.6001091054533,68.53021006254696,215.6317336244356,8934.49186412473,8,348
20260318,203.2856962100872,811.2036512219499,434.984242977807,98.42418253117619,771.5443034244379,309.89349164436277,6303.589342588615,21,283
20260319,102.35413474815435,664.4503179300017,556.2177327183848,282.08638288872675,830.3490825480428,15.985599264277184,2826.7848397956113,7,102
20260320,217.6776015860746,745.7192088709198,419.7086634856129,685.8721513178034,153.5451756534224,631.6629125620825,7400.20219368385,57,353
20260321,226.8754315322611,798.8567052344429,392.9589577800775,490.3205492614655,295.5973662986896,464.7436002512336,8126.3372354074045,41,397
20260322,200.1948917096767,828.4274182415683,411.1162299885171,524.2402594605256,297.99220051650855,525.506304679731,6383.927266615929,32,282
20260323,249.182866967267,660.5043228393054,340.9489154726763,538.9456707626377,142.9521601827148,660.6505161711707,8964.773365089186,37,447
20260324,138.0176734930478,645.6025294955282,518.6099865908009,883.56020829105,153.65976489055177,213.2736743272301,3810.2953594792525,32,120
20260325,309.7874831444966,887.2333225658591,522.4247348831877,104.82803703362163,940.021432732754,262.4520252548683,6844.789554143477,19,211
20260326,235.75568313440488,687.0140206203604,326.33376582053825,153.11496733456698,499.55256430650957,372.68687536448977,7890.0407252618215,16,324
20260327,352.3498687738582,693.1026548227225,347.74550610907187,177.3217315324737,518.1692806856701,1593.7171555408595,9358.256741641406,34,411
20260328,103.23971037777478,586.7813203595125,479.5546262032227,797.3949833608945,161.71426904555096,82.49847161448058,3806.945289269536,13,221
20260329,143.8659264381699,790.4766414333022,507.3510654334884,197.62776857702636,817.0743622899504,215.92800077121856,5658.492495795017,33,267
20260330,328.6413847444285,904.8048553586814,396.2004497718474,583.2439579440563,209.15694159963851,860.9808283946072,10290.23162662682,51,429
20260331,188.74764356240573,890.6761970255828,462.1437825662672,840.9838401077325,83.3037250248019,408.395307143029,5832.946609530734,28,268
20260332,217.08680230768783,644.8593004835761,306.7242005109744,309.2338611349757,304.2145398869731,637.0336056920924,9099.073594369478,63,469
20260333,165.81084705807666,640.7890705972184,395.3834574305817,119.0483030029194,671.718611858244,468.1101626404437,5868.934354459992,36,271
20260334,114.08536006186768,759.4190320900477,473.79903490745573,88.7123026261701,858.8857671887414,154.36564387874375,3152.9158482875,17,155
20260335,333.3956692826909,743.4619520057169,409.44242594684096,629.5353844575936,189.34946743608828,1527.7485850677272,9123.951666078074,53,376
