step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,31.999999999999996,28.94025121470364,99.81964973200296,100.42990600516026,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,31.999999999999996,28.94025121470364,99.81964973200296,100.42990600516026,30.83289550303134,True,True,ok
2,99.67839436360673,99.999864349645,99.67839436360671,100.2886270150551,30.27203917327386,30.236230220931056,99.69714436855354,100.30222624169876,32.19882483454294,False,True,bad
3,99.8426241003642,99.999864349645,99.67839436360671,100.2886270150551,30.27203917327386,30.236230220931056,99.69714436855354,100.30222624169876,15.736421513646945,True,True,ok
4,99.81775621291175,99.99935973193968,99.40115289754827,100.56834375044649,30.4705267925966,30.39765262902255,99.69465641494422,100.30333431196529,18.17697830049158,True,True,ok
5,99.83778655022516,99.85945858197046,99.23101684976072,99.83778655022518,30.11617524937056,30.077037960686038,99.55872008647427,100.1598062546208,2.1704888133066715,True,True,good
6,99.88589919778433,99.7402365748098,99.28555864689034,99.88589919778434,30.017820766689095,29.96783137215962,99.44083812033682,100.03913643387912,14.59354490457217,True,True,ok
7,99.90120370558397,99.75726804681258,99.3028385004605,99.90120370558397,30.50301409403851,30.484300535392546,99.45297831149111,100.06137110078545,14.418189465542444,True,True,ok
8,100.04203460294946,99.89548724654254,99.43283535281273,100.04203460294947,30.939034711691924,30.91998886515821,99.58642025179633,100.20436398187681,14.659317700343802,True,True,ok
9,100.0454739906732,99.75573141630534,99.33269043957475,99.95001531854638,31.45293569501714,31.43912265602188,99.4419703557607,100.0693546838692,29.003106050578246,True,False,ok
10,100.06520297664015,99.89432681438001,99.43686181565323,100.06520297664017,30.19026384318977,30.162922326005543,99.59274320608361,100.19563729643107,17.09107878314619,True,True,ok
11,99.91246127540013,99.75457260761114,99.31302834491584,99.91513818470501,30.84779727703703,30.830846820826622,99.44685172428544,100.06212440238536,15.815199697996203,True,True,ok
12,99.99262688241636,99.83941996147705,99.37683691141683,99.99262688241636,22.393011723559965,23.840322146866715,99.61584943130997,100.07744035496084,15.33357170455578,True,True,ok
13,99.95253665671771,99.83941996147705,99.37683691141683,99.99262688241636,22.393011723559965,23.840322146866715,99.61584943130997,100.07744035496084,11.323449576441917,True,True,good
14,100.03152588873687,99.92046399022146,99.56958082025501,100.03152588873687,19.683915287949485,20.840322146866715,99.72378139534986,100.12870145608352,11.108857681697783,True,True,good
15,100.05654516501023,99.95833718913582,99.65148409678761,100.05654516501025,22.358264918649542,14.840322146866717,99.73484769076558,100.10667858165101,9.820067648031586,True,True,good
16,99.97388834514528,99.95833718913582,99.65148409678761,100.05654516501025,22.358264918649542,14.840322146866717,99.73484769076558,100.10667858165101,1.5556427683708751,True,True,good
17,100.07719565982246,99.95438822655196,99.31944802427141,100.39104543607509,18.217264852705256,18.21001908426844,99.77229867020063,100.13640535826815,12.278805807976164,True,True,ok
18,100.13557486812107,100.04499066603852,99.77114035282202,100.13557486812105,16.037179854311255,17.967138925854297,99.8845467151551,100.22474289065177,9.050250010407444,True,False,ok
19,100.11344546636744,100.03099802961286,99.77330498410822,100.11344546636741,15.005889176300297,17.967138925854297,99.88089262255015,100.21072511346185,8.238793940823495,True,False,ok
20,100.0115430175656,100.03099802961286,99.77330498410822,100.11344546636741,15.005889176300297,17.967138925854297,99.88089262255015,100.21072511346185,1.9450874805683345,True,True,good
21,99.98132429804349,99.89105261701796,99.73520152331338,100.06487593211881,18.005889176300297,14.967138925854297,99.71118989470536,100.04056094321484,9.03293277008448,True,True,good
22,99.88417390966177,99.8913181091543,99.47184548484186,100.32980204449944,15.005889176300297,17.967138925854297,99.74142230423224,100.07079422814968,0.7152228157101931,True,True,good
23,99.92738125027716,100.0065561853454,99.92738125027715,100.25769090859231,18.005889176300297,14.967138925854297,99.82648548858772,100.15623738733764,7.920110034593197,True,True,good
24,99.75791687241569,99.86664496739066,99.75791687241569,100.08766648347655,19.06245234534595,13.071006976941826,99.6762746513326,99.99718072870391,10.893259298812758,True,True,good
25,100.03476597428987,100.00369442570533,99.76023365945409,100.08158103203506,20.773776031499068,14.76940359032588,99.79594899067312,100.15139391805504,3.1065574862242937,True,True,good
26,100.12666195291955,100.03900550664633,99.7710871647487,100.12666195291955,17.954250212194946,16.09362718627764,99.85939297306179,100.20000455251733,8.75839028631839,True,True,good
27,99.99357893239292,100.07539188033486,99.99357893239291,100.33490808058147,18.297472715009803,13.09362718627764,99.89227920509742,100.20642686751503,8.178474869922518,True,True,good
28,100.0667984022594,100.2155955486352,100.0041404168038,100.31881185720607,17.718779891777977,11.715410194185042,100.03802574071024,100.33300222960588,14.858737287586886,True,True,ok
29,100.06716708468291,100.33013388967748,100.10577456120413,100.40108861856231,19.877873101284816,13.87228991866848,100.13069892270809,100.46931476016712,26.244560645664453,False,False,bad
30,99.9609806902627,100.18976997989489,99.9609806902627,100.29921560128389,21.905472753159746,15.901915891954001,99.97029955225089,100.34909090944033,22.861706839954767,False,True,bad
31,99.9593766071862,100.18976997989489,99.9609806902627,100.29921560128389,21.905472753159746,15.901915891954001,99.97029955225089,100.34909090944033,23.022179049810966,False,False,bad
32,99.93533851370407,100.18751072963273,99.5617782486887,100.70137486822644,23.906745876733762,17.914398352120617,99.94799499372914,100.36699062734453,25.20175485710337,False,True,bad
33,99.76435864217486,100.04616772629109,99.76435864217488,100.18290595980658,21.607221817167243,21.6054108899558,99.82999575248914,100.26232158246027,28.207650126775732,False,False,bad
34,99.71639940972189,99.90661720997235,99.71639940972189,100.14870078494367,22.495301358022257,16.634111365033498,99.68187426379247,100.07280298964979,19.057707978117396,True,True,ok
35,99.78298073759346,99.87763918493292,99.78298073759346,100.1745831558404,21.07081918349397,15.095249219764291,99.66718881735892,100.02840697043075,9.481935342907766,True,True,good
36,99.81760794956308,99.9051186955567,99.81760794956307,100.179599533981,21.59557612104092,15.666600690309055,99.68936783598954,100.06163605570882,8.763224202257508,True,True,good
37,99.79267885731696,99.88204802083565,99.79267885731696,100.1655787183092,23.27711029245487,17.29231123386903,99.64955147603393,100.05476716694092,8.9514753202368,True,True,good
38,99.7554356748064,99.85355583762502,99.7554356748064,100.16138144061837,23.754073498020563,17.76788301768751,99.61636296718446,100.03097446752733,9.83123755880771,True,True,good
39,99.81790572786922,99.85355583762502,99.7554356748064,100.16138144061837,23.754073498020563,17.76788301768751,99.61636296718446,100.03097446752733,3.570876864937659,True,True,good
40,99.67022798737001,99.77227419812864,99.67022798737001,100.08537964556805,23.64910268552578,19.954815322769857,99.53632172236064,99.97136792872428,10.233146751108771,True,True,good
41,99.77042467088437,99.63269074546675,99.44944040701209,99.67866880837184,24.3530340291106,16.954815322769857,99.39005491465312,99.80161613263674,13.81462341094854,True,False,ok
42,99.79749882275844,99.69764674487054,99.38566888311667,99.79749882275844,24.71918113931569,14.189910691696468,99.45120232596554,99.83911681521873,10.01047779305526,True,True,good
43,99.6365310168946,99.55816769754243,99.24920381144675,99.6365310168946,26.507551102001127,14.499952732303111,99.29426337575602,99.70252657011534,7.868012944170333,True,True,good
44,99.80715628048948,99.69764674487054,99.39825566313047,99.80715628048948,28.262832593008582,16.258593786282034,99.41587295488382,99.85974109885785,10.978136361296734,True,True,good
45,99.86164820811699,99.75487412472178,99.41750878440438,99.86164820811697,29.81069340008213,17.804004715700273,99.45749792795219,99.93247774965484,10.697921427602518,True,False,ok
46,99.90521017802705,99.78997423333803,99.43004478237414,99.90521017802705,28.201275960356448,22.193622538873754,99.5085537731949,100.01144433546789,11.541185414138944,True,True,good
47,99.81547889023129,99.65036601796479,99.47354304740675,99.97674911686029,27.83275895197411,21.845336171783778,99.37301155627938,99.86805559249517,16.555507039807207,True,True,ok
48,99.95381959097979,99.65259908890476,99.25939614054371,100.19244367489772,26.530023073910584,20.601196304767324,99.38822051358439,99.85789536451585,30.18146738204819,False,True,bad
49,100.06466462591301,99.65259908890476,99.25939614054371,100.19244367489772,26.530023073910584,20.601196304767324,99.38822051358439,99.85789536451585,41.2649476628192,False,True,bad
50,100.05896070943422,99.65259908890476,99.25939614054371,100.19244367489772,26.530023073910584,20.601196304767324,99.38822051358439,99.85789536451585,40.69490837127872,False,True,bad
51,100.19671398514092,99.65532552794627,98.7898641970152,100.66864184753341,25.004521464095884,19.07875844107665,99.40614215532878,99.84545551625772,54.17905995116428,False,True,bad
52,100.2171072035316,99.79867615677203,100.04195873461445,100.48444777203122,26.07954897606676,16.269435476744935,99.53840571051431,99.96104296901176,41.83986384892352,False,True,bad
53,100.09681750002837,99.81257331518049,99.64335335821049,100.88641779589146,23.07954897606676,19.269435476744935,99.58221039775499,100.00490650930696,28.437321052421726,False,True,bad
54,100.14701855631931,99.95240877980719,99.91715745730741,100.34164789669197,23.67840726868281,17.701901809822026,99.71573739554978,100.12934355239472,19.451313825566274,False,True,bad
55,100.22188389555184,99.81257331518049,99.69159203544513,100.10541172854421,25.090133953946843,19.10402789750195,99.56214223170389,100.00325553369396,40.92406451694229,False,False,bad
56,100.2127152930151,99.95302795291776,99.77031393930336,100.21271529301511,24.597555397902244,20.52858923559779,99.70716793869177,100.15821741828773,25.947245675873884,False,True,bad
57,100.1848701987326,99.95417499988922,99.41047179998381,100.57546136196663,24.80804535590963,17.52858923559779,99.70620822919824,100.12938056748483,23.053502707204927,False,True,bad
58,100.22345094528544,100.0935452071091,99.79957440498168,100.22345094528544,22.343664316977843,16.31024056018693,99.8698995496687,100.25680018719409,12.970018409049281,True,True,ok
59,100.29814045087936,100.20423905242376,99.91081448989974,100.29814045087936,23.05875366064869,17.063561872916985,99.9731805660175,100.37522317572372,9.366612561254165,True,True,good
60,100.16703963150626,100.20423905242376,99.91081448989974,100.29814045087936,23.05875366064869,17.063561872916985,99.9731805660175,100.37522317572372,3.713049254285799,True,True,good
61,100.25082283968338,100.20423905242376,99.91081448989974,100.29814045087936,23.05875366064869,17.063561872916985,99.9731805660175,100.37522317572372,4.647803618277352,True,True,good
62,100.16206413652532,100.34462323309421,100.19555161563403,100.598781400135,25.33744412096931,19.3473061636221,100.09037560469338,100.53876304785061,18.209781370427017,True,False,ok
63,100.17462476823738,100.34462323309421,100.19555161563403,100.598781400135,25.33744412096931,19.3473061636221,100.09037560469338,100.53876304785061,16.95582915656207,True,False,ok
64,100.30290861472479,100.20423905242376,99.96454400326431,100.41274360600224,27.472860281654206,21.47456463272418,99.92894934651208,100.41942329322418,9.842000289137768,True,True,good
65,100.14014292516185,100.34462323309421,100.05597495899326,100.54753605814672,28.953079866568512,22.95152409120473,100.05409464402936,100.57492943684993,20.39859514063463,True,True,ok
66,100.21016621821643,100.34462323309421,100.05597495899326,100.54753605814672,28.953079866568512,22.95152409120473,100.05409464402936,100.57492943684993,13.408509005488462,True,True,ok
67,100.10242964423365,100.34462323309421,100.05597495899326,100.54753605814672,28.953079866568512,22.95152409120473,100.05409464402936,100.57492943684993,24.165354715304364,True,True,ok
68,100.12568855280581,100.4820236549113,100.09126650196042,100.61282479472781,24.640985367399225,23.656241215857126,100.23442604745458,100.71972635385511,35.525600980134016,False,True,bad
