seed,edge_submission,edge_normalizer,avg_fee_bps_submission,avg_bid_fee_bps_submission,avg_ask_fee_bps_submission,arb_volume_y_submission,retail_volume_y_submission,arb_trade_count_submission,retail_trade_count_submission
20260215,314.6275311349968,312.6956363089683,31.501127211833776,33.834390513139056,29.167863910528492,36392.826881572626,69164.36218045186,3349,7335
20260216,313.48475749805266,313.1693088229497,31.80289451678362,30.415933911632898,33.18985512193434,36240.66580625619,68216.33868805725,3295,7101
20260217,239.70225648865338,243.13707295039703,31.608274523617194,33.51726858620996,29.69928046102443,27220.493591476294,54080.03039334585,2938,5671
20260218,451.09957891906555,445.3888908845209,31.83690978664067,32.67117272231537,31.002646850965974,48507.986650484134,96518.66918028853,3693,9403
20260219,380.42842523492783,377.54937579735713,31.654357393855268,32.4350563317526,30.873658455957937,41774.80791341673,82048.8397933904,3465,8266
20260220,333.2336685537462,335.9816534500558,33.213647218425756,34.07206976551873,32.355224671332785,37164.194967101466,67650.77120563311,3084,6264
20260221,412.72970173004046,408.4783284640192,32.04450502671301,33.681201799507114,30.40780825391891,44256.52007671671,86727.24077818803,3463,8541
20260222,296.9533304243746,295.0467813870329,33.04827895087418,34.05841946580795,32.0381384359404,32896.72923381386,60671.623568240146,2885,5688
20260223,314.68924015031047,314.9895887812638,32.27422034723512,33.52099442704986,31.027446267420384,35193.563976091325,66465.59634540557,3209,6746
20260224,285.25903469576104,287.5811783146758,32.6340011537001,27.94113136747353,37.326870939926664,32790.71937626385,59954.036152415814,3121,5967
20260225,464.9293237061058,457.9198117226213,31.978647251385656,30.78222435636726,33.17507014640405,49405.014670566605,98679.44588733785,3645,9098
20260226,304.2493421022539,303.9137470515703,31.693661078254706,36.20690587210865,27.180416284400767,33958.15917477294,65232.94363332869,3090,6476
20260227,326.7645975252462,326.7964020586498,32.62478631539344,33.6085155714315,31.641057059355393,35933.32116000475,68947.98136911914,3229,6401
20260228,323.7189795790293,321.5663352229095,31.755261299828085,39.13930620660852,24.371216393047657,36744.524324044694,70571.52960620336,3201,6897
20260229,373.07827371835475,369.219622902329,32.216304956513596,34.54479445390097,29.887815459126223,39584.01960315515,79223.17021034936,3231,7944
20260230,301.28707589945475,304.4698512668366,31.612624202542875,29.638456114458823,33.58679229062693,34238.31009730522,67207.65733435337,3266,7113
20260231,244.3193665651441,245.24063291854233,31.275120524252234,28.373492501846393,34.176748546658075,29450.443289855193,54039.32296862945,3092,5800
20260232,271.0139339094441,271.62455921368195,31.666880102089387,31.650034011720585,31.683726192458185,31491.757272322822,58772.57698019551,3073,6156
20260233,367.1017588000856,364.5984265692848,32.25002018181438,30.522207149089155,33.9778332145396,39377.612487422404,77001.80697305036,3335,7378
20260234,460.8915564937713,455.7371975874023,31.75176649375656,29.389597773291044,34.113935214222074,49728.453269623904,99145.72356329917,3612,9382
20260235,415.0782412854587,409.73647916531587,31.761738050775463,34.89341761384105,28.630058487709878,44804.768361275754,88532.91187139113,3508,8740
20260236,379.2593390174214,379.78747802570035,32.122445049664144,33.14824552028324,31.096644579045048,40820.19535318137,80742.977435598,3388,7803
20260237,320.6921234184641,319.8114642379027,31.34898692641137,30.492937373837737,32.205036478985,36764.82169374049,70331.41799112174,3415,7252
20260238,303.05317853889375,304.4148481831565,32.00395847549229,33.642046438328705,30.36587051265587,34259.14054887971,64938.34638533127,3233,6551
20260239,396.5749611344434,392.5026318184985,32.085004789263664,30.965489505981054,33.204520072546266,42621.639094269536,84327.87924523128,3318,8197
20260240,386.82805791183193,382.874246152359,31.78433232579566,37.396366485197355,26.172298166393965,42709.20719317483,83088.26730428357,3365,7967
20260241,387.77028807161344,385.66735979319253,31.645024840411914,31.555823632422847,31.73422604840098,41839.948917376314,86162.02335025853,3375,8709
20260242,330.3724599589228,330.79088190030797,31.663464159574204,31.492477799658968,31.834450519489444,36989.33369720631,73566.51663881088,3238,7416
20260243,298.878076316894,299.6257244974395,32.10399913631246,37.09653268103785,27.111465591587066,34075.77533308479,63531.09532877111,3152,6164
20260244,274.5565193463628,274.95230151326996,32.12001278799359,34.26169113941173,29.97833443657544,31841.92569078578,58124.96948784364,3042,5759
20260245,349.2553667671837,348.5976562172251,32.19499507285688,35.14011682031845,29.249873325395306,38074.54893129657,74186.53653291227,3231,7010
20260246,392.49616871029184,389.64759264696295,32.77981370420986,33.386562393061475,32.17306501535824,41332.91821327468,79449.62417725421,3332,7336
20260247,385.5522883487456,384.6907413013258,32.18277193062195,34.06164798264683,30.303895878597068,41469.36792665509,81188.83319069911,3412,8073
20260248,317.16181209027127,318.4159851310163,31.426750391308204,32.52909028362769,30.324410498988723,36480.517116376344,69547.46237392745,3310,6908
20260249,341.05498591725774,342.95305299222724,31.407772179667667,33.15978020341951,29.65576415591583,36727.51367952336,75998.84890661962,3328,7917
20260250,359.7440698301575,356.455294330779,31.57101938035379,25.411695645427322,37.730343115280256,41265.51713149226,78260.62725757505,3445,7577
20260251,262.4880205842105,261.96930539695353,30.922215293705477,25.711690911142806,36.13273967626815,31245.456519673062,58765.5017372773,3034,6199
20260252,395.28450389300076,392.3386071636822,31.438041779731172,36.18992498995669,26.686158569505654,40811.53087278321,87535.7187139549,3475,9049
20260253,413.1039221224325,409.380521134157,31.80571525463678,28.047694773767326,35.563735735506235,45228.504859984445,88291.74372632054,3601,8327
20260254,366.0404480612396,367.33898960111037,31.922057829685272,33.33991011686094,30.504205542509602,40277.433800698855,80598.44318104583,3378,8048
20260255,376.5647929713836,370.6785655547378,31.048547255665262,35.23066127235575,26.86643323897477,41519.35247501914,83072.44784575849,3437,8358
20260256,362.07333822984805,361.6883208651272,32.813921138928535,31.528930748517624,34.09891152933945,39895.22565534636,75445.4045189084,3372,7133
20260257,330.7338174092475,329.4093487462539,31.16550068673938,36.70154373789454,25.629457635584224,37317.16792338739,73455.89776199231,3304,7508
20260258,331.6815007139557,331.2695831723702,31.739073025684526,33.41442783810644,30.063718213262607,37137.566228763804,72968.29206724312,3346,7518
20260259,363.67178167481586,362.34177449401943,31.57157630355548,32.28858807396819,30.854564533142774,40094.40716404873,79158.46831552777,3355,7681
20260260,265.83024959304197,268.9919780992247,31.73481621358013,32.980724924036885,30.48890750312338,30436.340316779497,58029.58779641471,3202,6064
20260261,292.6055156592962,291.25347805998763,31.61958613654714,33.46669990481314,29.772472368281143,33319.79058477586,63842.661580707565,3187,6565
20260262,315.2412883139019,316.9000995333489,32.34672750543576,36.54869862051587,28.14475639035565,34199.64676478223,66822.41140025535,3157,6942
20260263,436.00271100992524,432.26556558530314,31.32084338448154,29.280162031710486,33.361524737252594,46896.99583389438,95116.33938196236,3678,9520
20260264,402.2361812788176,397.7528035699866,31.40613436820522,30.235884133206284,32.576384603204154,42784.83708967612,88924.5265982809,3386,9316
20260265,305.76971930440436,305.3683522368244,31.508800519489444,26.0066573206187,37.01094371836019,35346.06954222645,67122.67179737173,3342,6590
20260266,313.68032547840346,314.62002503470825,32.00810983730574,29.44923020404073,34.56698947057074,36894.41050014526,66927.99509412645,3243,6345
20260267,330.38367977602417,331.4937699220775,31.65316069491896,33.58947212289381,29.71684926694411,36229.91224273662,73200.07757047498,3245,7421
20260268,285.88773496038743,286.67241164242967,31.28640228966056,24.7715516328784,37.80125294644272,33352.96350924844,63266.84863096743,3189,6485
20260269,279.39166225393484,280.54451807844663,31.6819676394842,27.348629449586827,36.01530582938157,33885.33981276134,62226.38678068236,3179,6415
20260270,362.1102832436205,362.143039492019,32.48636708889852,35.04854079697387,29.924193380823162,40051.06196076184,76809.62418600617,3360,7388
