step,fair_price,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,internal_times_1_minus_bid,internal_times_1_plus_ask,rel_error_bps,in_user_band,in_filter_band,status
0,100.0,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,14.000000000001275,True,True,ok
1,99.83181263869632,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,99.84969176141668,100.43050433008202,30.83289550303134,False,True,bad
2,99.67839436360673,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,32.18702781201051,False,True,bad
3,99.8426241003642,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,99.7097471151483,100.28974564415026,15.724624491114632,True,True,ok
4,99.81775621291175,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,99.7388060300056,100.97499108759072,18.12129635412216,True,True,ok
5,99.83778655022516,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,99.7388060300056,100.97499108759072,16.114806866937624,True,True,ok
6,99.88589919778433,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,99.76789262603363,100.9978666455788,11.20536923311964,True,True,good
7,99.90120370558397,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,99.76789262603363,100.9978666455788,9.673287571474338,True,True,good
8,100.04203460294946,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,99.76789262603363,100.9978666455788,4.413802529329287,True,True,good
9,100.0454739906732,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,99.76789262603363,100.9978666455788,4.757590879562749,True,True,good
10,100.06520297664015,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,99.76789262603363,100.9978666455788,6.729398314314392,True,True,good
11,99.91246127540013,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,99.76789262603363,100.9978666455788,8.546480770833675,True,True,good
12,99.99262688241636,99.99700008070101,98.18672087073445,101.78221050919036,22.99999999999999,100.0,99.7670069805154,100.99697008150802,0.4373425113853085,True,True,good
13,99.95253665671771,99.99700008070101,98.18672087073445,101.78221050919036,22.99999999999999,100.0,99.7670069805154,100.99697008150802,4.447464639499653,True,True,good
14,100.03152588873687,99.99700008070101,98.18672087073445,101.78221050919036,22.99999999999999,100.0,99.7670069805154,100.99697008150802,3.4520884670220853,True,True,good
15,100.05654516501023,100.06036916782107,99.12537142469547,100.35745996063216,22.99999999999999,100.0,99.83023031873508,101.06097285949927,0.38217687135970047,True,True,good
16,99.97388834514528,100.06036916782107,99.12537142469547,100.35745996063216,22.99999999999999,100.0,99.83023031873508,101.06097285949927,8.646601751022406,True,True,good
17,100.07719565982246,100.04823491579398,98.45401933993297,101.04179149344051,19.999999999999986,78.143069561975,99.84813844596239,100.83004253385177,2.8942592800276143,True,True,good
18,100.13557486812107,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,100.04619508172152,101.18832068149281,5.079945826426811,True,True,good
19,100.11344546636744,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,100.04619508172152,101.18832068149281,7.290134101679749,True,True,good
20,100.0115430175656,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,100.04619508172152,101.18832068149281,17.474015523070875,False,True,bad
21,99.98132429804349,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,100.04619508172152,101.18832068149281,20.49599527241849,False,True,bad
22,99.88417390966177,100.18285412814471,98.47444344794938,101.68421329991058,13.999999999999988,100.0,100.04259813236531,101.18468266942617,29.85803740950063,False,True,bad
23,99.92738125027716,100.20239100722247,99.92738125027716,101.07825829927269,13.999999999999988,100.0,100.06210765981237,101.2044149172947,27.48316024591195,False,True,bad
24,99.75791687241569,100.0622058123457,99.75791687241569,100.90684217744811,13.999999999999988,100.0,99.92211872420842,101.06282787046915,30.456309510130286,False,True,bad
25,100.03476597428987,100.0622058123457,99.75791687241569,100.90684217744811,13.999999999999988,100.0,99.92211872420842,101.06282787046915,2.7426540224803153,True,True,good
26,100.12666195291955,100.07233240341424,99.04538738629597,101.63276291237582,13.999999999999988,100.0,99.93223113804946,101.07305572744838,5.427554820013214,True,True,good
27,99.99357893239292,100.21253178544721,99.99357893239291,101.14521838896972,13.999999999999988,100.0,100.0722342409476,101.21465710330169,21.872752990564624,False,True,bad
